subject,stimtype,task,s,contrast_id,Chat,g,tf,resp,rt,C
1,grate,A,4.82822,3,-1,1,0,4,1.15517,1
1,grate,A,-4.01186,6,-1,1,1,4,1.28816,-1
1,grate,A,-3.02411,4,-1,1,1,4,1.09654,-1
1,grate,A,6.8869,1,1,1,1,5,1.90344,1
1,grate,A,-2.94569,5,-1,1,1,4,1.87884,-1
1,grate,A,-3.62595,1,-1,1,0,4,1.19972,1
1,grate,A,4.50504,4,1,1,0,5,0.947008,-1
1,grate,A,3.12042,6,1,1,1,5,1.12065,1
1,grate,A,-0.107521,5,1,1,0,5,1.39945,-1
1,grate,A,-1.55427,5,1,1,1,5,1.10697,1
1,grate,A,-1.11673,3,-1,1,0,4,1.09043,1
1,grate,A,3.95333,1,1,1,1,5,0.826468,1
1,grate,A,-11.9821,2,-1,1,1,4,1.22908,-1
1,grate,A,0.30556,1,-1,1,0,4,0.879323,1
1,grate,A,-6.98584,1,-1,1,1,4,0.736099,-1
1,grate,A,11.3904,3,1,1,0,5,0.918441,-1
1,grate,A,9.61043,4,1,1,1,5,1.26909,1
1,grate,A,-2.45361,5,1,1,0,5,1.33343,-1
1,grate,A,14.796,2,1,1,1,5,1.5233,1
1,grate,A,0.949309,1,-1,1,1,4,1.48225,-1
1,grate,A,5.23901,5,1,1,1,5,0.962314,1
1,grate,A,9.31159,1,1,2,1,6,1.61455,1
1,grate,A,-0.490824,5,1,1,0,5,1.44122,-1
1,grate,A,10.0266,1,1,2,1,6,1.45135,1
1,grate,A,10.2109,2,1,2,1,6,1.6848,1
1,grate,A,2.8673,6,1,1,1,5,1.14088,1
1,grate,A,-1.11604,2,-1,1,1,4,1.54656,-1
1,grate,A,-2.08916,5,-1,1,0,4,1.87276,1
1,grate,A,-9.70865,3,-1,2,1,3,1.78545,-1
1,grate,A,-1.20408,2,-1,1,1,4,1.70139,-1
1,grate,A,14.1161,6,1,1,1,5,1.2844,1
1,grate,A,-4.38946,4,-1,1,1,4,0.916673,-1
