subject_name,session_start_time,task,block_type,block_no,section_no,stim_type,stim_category,stim_reliability,stim_orientation,stim_phase,resp_buttonid,resp_category,resp_confidence,resp_rt,resp_correct,resp_rtConf
jeh,2016-02-11 16:48:55,B,Test,1,1,grate,-1,0.03337326996032608,0.1494192606622961,279.4001773757609,-1,-1,1,0.36576035345206037,1,0.1455046588962432
jeh,2016-02-11 16:48:55,B,Test,1,1,grate,-1,0.00822974704902003,-3.8677662296472857,241.4319600803199,-1,-1,1,0.3155694789311383,1,0.12515165889635682
jeh,2016-02-11 16:48:55,B,Test,1,1,grate,1,0.00822974704902003,-8.911510652941534,189.80109152843892,-1,-1,1,0.33568995937821455,0,0.48982734861783683
jeh,2016-02-11 16:48:55,B,Test,1,1,grate,-1,0.1353352832366127,0.2382650441578245,341.7559992335504,-1,-1,1,0.29054492004797794,1,0.14058678961009718
jeh,2016-02-11 16:48:55,B,Test,1,1,grate,1,0.03337326996032608,-0.3858366081221868,194.5514451731926,-1,-1,1,0.39533524031867273,0,0.14015414283494465
jeh,2016-02-11 16:48:55,B,Test,1,1,grate,-1,0.00822974704902003,0.28560125023601135,105.81728218869007,-1,-1,1,0.40508117820718326,1,0.755539819074329
jeh,2016-02-11 16:48:55,B,Test,1,1,grate,1,0.1353352832366127,-1.8482050173325075,317.95678776359364,2,1,2,0.505619436968118,1,0.11508724937448278
jeh,2016-02-11 16:48:55,B,Test,1,1,grate,1,0.1353352832366127,16.09452778253973,176.14215862977898,3,1,3,0.4503702192741912,1,0.13086233974900097
jeh,2016-02-11 16:48:55,B,Test,1,1,grate,-1,0.03337326996032608,1.685110793490988,270.25805067947755,-1,-1,1,0.46073032956337556,1,0.13999923667870462
jeh,2016-02-11 16:48:55,B,Test,1,1,grate,1,0.06720551273974976,-6.062829005459675,218.66907322188447,2,1,2,0.42065389634808525,1,0.4754034375073388
jeh,2016-02-11 16:48:55,B,Test,1,1,grate,-1,0.016572675401761255,0.4039647492600353,256.38154425248564,-1,-1,1,0.36989182548131794,1,0.19564069085754454
jeh,2016-02-11 16:48:55,B,Test,1,1,grate,-1,0.016572675401761255,2.5106891442690067,313.6894748990545,3,1,3,0.3906457212870009,0,0.22976141568506137
jeh,2016-02-11 16:48:55,B,Test,1,1,grate,-1,0.004086771438464067,-2.460876241845756,290.88759722130914,2,1,2,0.6604672136018053,0,0.2699199523194693
jeh,2016-02-11 16:48:55,B,Test,1,1,grate,1,0.00822974704902003,-8.087814559934973,271.5682857512115,-1,-1,1,0.4253222481056582,0,0.18502144151716493
jeh,2016-02-11 16:48:55,B,Test,1,1,grate,1,0.004086771438464067,15.268831191909054,106.6517925761755,-1,-1,1,0.3407479817979038,0,0.12489861343055964
jeh,2016-02-11 16:48:55,B,Test,1,1,grate,-1,0.03337326996032608,0.5316626916731196,243.12592462674348,-1,-1,1,0.3502261212852318,1,0.14467496488941833
jeh,2016-02-11 16:48:55,B,Test,1,1,grate,1,0.06720551273974976,6.598158547578142,342.56788296338345,2,1,2,0.5557339809311088,1,0.6001760093204211
jeh,2016-02-11 16:48:55,B,Test,1,1,grate,1,0.004086771438464067,-12.238013021677787,229.90112456175393,2,1,2,0.6751624510216061,1,0.13499156673788093
jeh,2016-02-11 16:48:55,B,Test,1,1,grate,1,0.1353352832366127,-13.74363513365378,206.21481343768195,3,1,3,0.435690055572195,1,0.17979985356214456
jeh,2016-02-11 16:48:55,B,Test,1,1,grate,-1,0.06720551273974976,-2.886999212874831,294.77215400878157,2,1,2,0.45149272758862935,0,0.16494265425717458
jeh,2016-02-11 16:48:55,B,Test,1,1,grate,1,0.06720551273974976,26.765510839649018,285.6288704841129,3,1,3,0.4103357999701984,1,0.12971866413136013
jeh,2016-02-11 16:48:55,B,Test,1,1,grate,1,0.016572675401761255,-5.162251993669184,132.04511852093364,2,1,2,0.4004532367689535,1,0.15993434289703146
jeh,2016-02-11 16:48:55,B,Test,1,1,grate,1,0.03337326996032608,8.831510875914752,179.23910047595407,2,1,2,0.46989320454304107,1,0.1406871739309281
jeh,2016-02-11 16:48:55,B,Test,1,1,grate,1,0.016572675401761255,23.431090742672268,12.659795099949157,3,1,3,0.3853978345869109,1,0.1604917484219186
