subject_name,task,block_type,stim_type,stim_category,stim_orientation,stim_cue_validity,stim_cue_validity_id,resp_confidence,resp_correct,resp_category,resp_rt
hsv,B,Test,grate,-1,-0.03751561271927388,-1,3,2,0,1,1.7464414320420474
hsv,B,Test,grate,1,-1.2629131801055915,1,1,4,0,-1,2.3072371130110696
hsv,B,Test,grate,-1,0.811764788217631,1,1,3,1,-1,0.7208369740401395
hsv,B,Test,grate,1,-1.955962154646255,1,1,4,0,-1,0.7567104159970768
hsv,B,Test,grate,1,-2.5563757534072837,1,1,3,0,-1,0.6918376699904911
hsv,B,Test,grate,1,20.09065570356063,1,1,4,1,1,0.3861115500330925
hsv,B,Test,grate,-1,-4.8062311132343165,1,1,2,1,-1,1.8777480109711178
hsv,B,Test,grate,-1,2.3278930016605117,1,1,4,0,1,0.40781063499161974
hsv,B,Test,grate,1,0.4567873526902184,1,1,4,0,-1,0.6046125250286423
hsv,B,Test,grate,1,-21.7366615763666,1,1,4,1,1,0.4143050040001981
hsv,B,Test,grate,-1,-1.4146071860481708,1,1,4,1,-1,0.6268912570085377
hsv,B,Test,grate,-1,-1.5840396979241873,1,1,3,1,-1,0.3568476189975627
hsv,B,Test,grate,1,-11.1621452543522,1,1,2,1,1,1.4753237589611672
hsv,B,Test,grate,1,15.926692840543108,-1,3,2,1,1,1.3065192800131626
hsv,B,Test,grate,1,-3.8527048289154235,0,2,2,1,1,1.6224059910164215
hsv,B,Test,grate,-1,0.7878032650352976,1,1,3,1,-1,0.4666900630109012
hsv,B,Test,grate,-1,-3.4349932872798723,1,1,2,1,-1,1.0134069769992493
hsv,B,Test,grate,1,0.5460017839266991,-1,3,2,1,1,1.9215496749966405
hsv,B,Test,grate,-1,0.5263109789999246,1,1,4,1,-1,0.604934336966835
hsv,B,Test,grate,-1,1.4794079462233676,-1,3,2,1,-1,1.7651609049644321
hsv,B,Test,grate,-1,0.2672140536582677,1,1,2,1,-1,1.052515121002216
hsv,B,Test,grate,1,-11.064521580502728,1,1,3,0,-1,0.7946370849967934
hsv,B,Test,grate,1,-14.285403471618764,1,1,4,1,1,0.3273696550168097
hsv,B,Test,grate,-1,5.431661681091071,1,1,4,0,1,0.8247349350131117
hsv,B,Test,grate,1,-13.85619307602122,1,1,4,1,1,0.5524830520153046
hsv,B,Test,grate,-1,3.335116554878464,1,1,4,1,-1,1.1163784050149843
hsv,B,Test,grate,-1,-3.0634979041175234,1,1,2,0,1,1.3873274009674788
hsv,B,Test,grate,1,-3.7055271289789973,1,1,3,0,-1,0.5814850290189497
hsv,B,Test,grate,1,10.232341305109243,1,1,2,0,-1,1.1387368100113235
hsv,B,Test,grate,-1,-2.6276882719694266,1,1,2,1,-1,0.5088458660175093
hsv,B,Test,grate,1,-2.5356681444885094,0,2,2,0,-1,1.5180354789481498
